Ucode,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
F150,20%,70%,20%,60%,20%,70%,90%,20%,80%,50%,90%,90%,80%,80%,70%,90%,0%,30%,10%,10%,10%,60%,70%,80%,90%,80%,20%,0%,0%,100%,80%,50%,0%,100%,40%,0%,0%,0%,10%,0%,0%,0%,10%,30%,70%,50%,90%,10%,20%,30%,80%,30%,10%,0%,0%,0%,0%,20%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F151,10%,10%,0%,10%,0%,0%,0%,80%,10%,10%,10%,10%,10%,10%,10%,10%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,100%,30%,20%,100%,90%,70%,70%,100%,100%,80%,40%,10%,90%,10%,90%,10%,90%,80%,30%,0%,10%,0%,80%,80%,80%,30%,0%,0%,0%,0%,0%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F152,40%,50%,30%,20%,30%,70%,80%,70%,70%,30%,60%,20%,60%,80%,40%,50%,10%,40%,80%,40%,60%,80%,70%,60%,50%,40%,30%,20%,10%,20%,10%,10%,10%,10%,20%,30%,40%,50%,70%,0%,0%,0%,20%,0%,10%,50%,50%,50%,80%,30%,70%,50%,50%,10%,10%,10%,10%,30%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F153,10%,70%,50%,10%,50%,70%,10%,30%,10%,70%,70%,40%,70%,80%,0%,80%,90%,70%,20%,50%,70%,10%,20%,40%,60%,70%,60%,50%,30%,60%,70%,80%,90%,50%,60%,70%,80%,70%,80%,30%,20%,20%,50%,20%,30%,20%,50%,80%,70%,70%,80%,70%,10%,50%,60%,30%,10%,40%,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F154,90%,80%,20%,70%,0%,20%,90%,40%,10%,30%,40%,90%,10%,10%,20%,50%,30%,70%,80%,30%,80%,100%,100%,80%,60%,30%,20%,10%,0%,100%,100%,100%,80%,100%,40%,30%,20%,10%,50%,30%,40%,20%,60%,70%,30%,40%,50%,50%,30%,50%,50%,50%,50%,10%,20%,10%,10%,50%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F155,70%,80%,20%,40%,20%,70%,30%,30%,70%,30%,60%,20%,0%,80%,20%,80%,60%,30%,30%,70%,90%,80%,60%,30%,10%,10%,10%,0%,0%,40%,30%,10%,0%,,,,,,70%,40%,40%,40%,70%,70%,50%,70%,80%,20%,60%,20%,40%,40%,40%,20%,20%,20%,20%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F156,10%,90%,10%,10%,0%,0%,30%,80%,10%,20%,30%,,80%,80%,40%,80%,30%,40%,80%,80%,80%,40%,70%,50%,40%,30%,20%,10%,10%,0%,0%,80%,60%,0%,20%,50%,70%,50%,70%,30%,20%,20%,70%,80%,80%,80%,90%,20%,40%,60%,20%,30%,20%,40%,10%,10%,10%,40%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F157,80%,10%,0%,80%,10%,50%,10%,80%,80%,80%,90%,50%,10%,0%,20%,60%,20%,80%,70%,70%,90%,100%,100%,100%,100%,80%,60%,30%,0%,100%,100%,100%,100%,100%,80%,60%,30%,10%,10%,0%,0%,0%,50%,20%,80%,30%,90%,10%,60%,40%,80%,80%,40%,20%,10%,0%,0%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F158,80%,90%,10%,90%,10%,10%,20%,70%,40%,10%,30%,80%,,,20%,80%,20%,80%,70%,30%,40%,100%,100%,100%,50%,10%,10%,0%,0%,100%,80%,70%,60%,100%,70%,30%,10%,10%,20%,30%,20%,30%,70%,70%,80%,40%,50%,50%,80%,70%,80%,60%,30%,40%,40%,10%,20%,80%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F159,40%,80%,20%,50%,20%,70%,70%,20%,70%,20%,50%,50%,20%,70%,30%,80%,30%,80%,20%,30%,70%,80%,70%,60%,50%,40%,30%,20%,10%,100%,90%,80%,40%,70%,20%,10%,0%,0%,10%,50%,20%,40%,90%,70%,50%,40%,80%,20%,60%,50%,60%,40%,10%,10%,10%,0%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F160,10%,60%,80%,90%,60%,50%,80%,50%,90%,80%,80%,30%,30%,90%,80%,20%,80%,70%,90%,90%,10%,0%,0%,0%,80%,90%,80%,80%,80%,10%,10%,10%,90%,10%,10%,90%,80%,70%,90%,50%,50%,50%,80%,90%,90%,70%,80%,50%,80%,40%,90%,60%,30%,30%,40%,30%,30%,40%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F161,90%,90%,10%,80%,10%,20%,80%,,90%,10%,10%,30%,90%,90%,30%,60%,30%,70%,80%,80%,90%,100%,90%,70%,50%,40%,20%,10%,10%,80%,70%,50%,40%,80%,70%,60%,20%,10%,80%,60%,50%,60%,90%,70%,30%,10%,10%,10%,60%,60%,70%,50%,50%,10%,20%,0%,0%,20%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F162,70%,80%,40%,60%,40%,80%,80%,40%,80%,30%,60%,70%,50%,50%,40%,70%,50%,80%,80%,80%,90%,90%,80%,70%,60%,60%,60%,60%,50%,90%,70%,70%,30%,90%,80%,30%,30%,30%,70%,70%,80%,70%,50%,50%,50%,60%,80%,30%,50%,30%,60%,60%,30%,20%,20%,0%,20%,20%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F163,70%,70%,20%,70%,20%,80%,40%,60%,90%,30%,30%,40%,80%,,30%,70%,50%,90%,70%,50%,80%,90%,70%,60%,50%,40%,30%,20%,10%,50%,40%,20%,10%,90%,60%,30%,10%,0%,30%,40%,30%,30%,90%,70%,60%,50%,40%,50%,10%,40%,50%,50%,40%,40%,30%,20%,10%,10%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F164,80%,70%,20%,50%,20%,10%,90%,90%,60%,10%,20%,50%,30%,50%,80%,90%,20%,30%,10%,90%,10%,100%,100%,100%,100%,100%,100%,90%,80%,100%,100%,100%,90%,100%,80%,60%,40%,20%,40%,0%,10%,0%,10%,90%,50%,10%,80%,20%,50%,20%,70%,50%,0%,10%,10%,10%,0%,20%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F165,80%,80%,50%,80%,20%,40%,10%,70%,70%,40%,60%,70%,70%,80%,60%,90%,40%,70%,90%,90%,10%,90%,70%,50%,20%,10%,0%,0%,0%,80%,50%,40%,30%,90%,50%,40%,20%,0%,60%,50%,50%,50%,40%,10%,80%,90%,80%,20%,40%,20%,60%,10%,30%,80%,50%,20%,0%,60%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F166,80%,30%,30%,80%,0%,30%,90%,10%,90%,10%,90%,30%,10%,0%,50%,70%,70%,10%,80%,80%,10%,100%,100%,80%,60%,40%,20%,0%,0%,100%,100%,100%,80%,100%,80%,50%,20%,10%,90%,60%,40%,40%,70%,60%,30%,30%,70%,50%,10%,70%,50%,60%,30%,30%,30%,20%,0%,60%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F167,90%,70%,30%,70%,10%,40%,50%,70%,90%,80%,70%,40%,10%,,50%,90%,30%,60%,10%,90%,90%,,100%,100%,80%,70%,40%,30%,20%,100%,100%,80%,60%,,,,,,70%,40%,30%,30%,90%,80%,80%,50%,70%,20%,30%,60%,60%,60%,10%,80%,70%,10%,10%,80%,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F168,10%,10%,10%,50%,0%,0%,0%,90%,10%,20%,10%,50%,10%,0%,0%,50%,50%,10%,0%,50%,80%,100%,100%,100%,90%,20%,0%,0%,0%,100%,100%,100%,80%,100%,100%,100%,90%,90%,10%,10%,10%,10%,90%,70%,90%,90%,10%,0%,70%,50%,80%,60%,20%,40%,20%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F169,90%,10%,10%,90%,0%,40%,20%,80%,70%,20%,10%,20%,30%,80%,30%,90%,30%,80%,40%,70%,80%,100%,100%,100%,80%,60%,40%,20%,0%,100%,100%,100%,100%,100%,100%,70%,40%,10%,10%,10%,20%,20%,50%,20%,90%,60%,10%,0%,10%,10%,70%,50%,0%,10%,40%,0%,0%,80%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F170,80%,80%,20%,40%,20%,10%,30%,30%,60%,80%,80%,10%,30%,30%,60%,80%,30%,80%,80%,90%,70%,100%,100%,100%,100%,100%,100%,100%,70%,100%,100%,100%,70%,100%,100%,70%,40%,20%,80%,40%,70%,60%,80%,40%,80%,70%,80%,20%,40%,40%,90%,70%,10%,60%,70%,10%,0%,80%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F171,10%,10%,0%,70%,0%,30%,80%,10%,30%,10%,80%,30%,10%,10%,0%,30%,70%,30%,30%,70%,60%,30%,30%,30%,20%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,90%,90%,70%,20%,0%,20%,10%,10%,40%,20%,30%,0%,40%,80%,40%,80%,80%,30%,30%,30%,10%,90%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F172,90%,60%,40%,70%,20%,10%,60%,40%,50%,20%,20%,10%,40%,60%,50%,80%,60%,80%,80%,40%,30%,20%,10%,0%,0%,0%,0%,0%,0%,20%,10%,0%,0%,50%,40%,30%,0%,0%,30%,40%,40%,50%,70%,50%,60%,40%,60%,40%,20%,40%,70%,40%,0%,10%,0%,0%,0%,20%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F173,90%,80%,20%,10%,0%,0%,0%,80%,10%,10%,90%,50%,10%,0%,50%,60%,30%,50%,50%,60%,90%,80%,70%,20%,10%,0%,0%,0%,0%,100%,100%,100%,50%,80%,80%,70%,60%,50%,90%,50%,50%,50%,90%,90%,50%,50%,90%,10%,50%,70%,70%,10%,10%,50%,40%,30%,30%,30%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F174,70%,70%,20%,30%,10%,50%,10%,90%,10%,30%,10%,50%,60%,50%,60%,90%,70%,60%,70%,20%,30%,100%,100%,100%,100%,100%,90%,90%,80%,100%,90%,70%,30%,70%,60%,50%,30%,10%,40%,30%,30%,40%,30%,30%,40%,40%,60%,20%,70%,60%,40%,40%,60%,20%,20%,10%,0%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F175,10%,80%,10%,10%,0%,0%,10%,10%,10%,0%,90%,50%,10%,10%,90%,10%,20%,,90%,10%,90%,0%,10%,80%,50%,30%,10%,0%,0%,20%,50%,70%,30%,60%,70%,40%,20%,0%,50%,,50%,,60%,70%,60%,60%,10%,0%,20%,40%,70%,40%,10%,20%,70%,30%,30%,50%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F176,30%,50%,10%,20%,20%,70%,90%,60%,10%,30%,40%,20%,20%,80%,40%,80%,30%,70%,90%,90%,90%,100%,70%,10%,0%,0%,0%,0%,0%,70%,20%,0%,0%,100%,10%,10%,0%,0%,20%,10%,20%,20%,80%,80%,40%,40%,70%,20%,70%,20%,80%,70%,10%,0%,0%,0%,0%,20%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F177,80%,50%,60%,60%,50%,30%,20%,10%,80%,20%,10%,40%,60%,60%,30%,80%,60%,80%,70%,50%,70%,100%,100%,100%,100%,100%,80%,60%,30%,100%,100%,70%,20%,90%,50%,20%,10%,0%,90%,,,,50%,20%,40%,30%,60%,50%,10%,40%,80%,50%,20%,30%,60%,70%,60%,70%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F178,80%,90%,20%,80%,10%,30%,30%,40%,70%,20%,90%,90%,80%,80%,80%,90%,40%,80%,60%,60%,60%,100%,100%,60%,50%,30%,20%,10%,10%,90%,80%,70%,60%,90%,80%,40%,30%,20%,10%,30%,40%,30%,90%,60%,70%,50%,60%,20%,20%,60%,60%,40%,30%,60%,60%,40%,30%,70%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F179,80%,10%,40%,0%,0%,30%,20%,70%,70%,10%,40%,80%,10%,0%,60%,90%,20%,70%,70%,20%,70%,80%,80%,40%,20%,10%,0%,0%,0%,100%,90%,80%,60%,100%,90%,80%,70%,50%,20%,60%,70%,40%,90%,90%,70%,70%,90%,10%,50%,80%,60%,40%,10%,10%,0%,0%,0%,20%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F180,80%,70%,20%,70%,0%,10%,20%,60%,10%,10%,30%,10%,10%,0%,30%,50%,30%,90%,70%,20%,50%,100%,100%,90%,90%,90%,80%,80%,70%,100%,100%,90%,90%,,,,,,20%,40%,30%,40%,70%,60%,30%,10%,60%,40%,80%,70%,60%,40%,50%,80%,40%,0%,20%,30%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F181,80%,50%,80%,90%,30%,10%,10%,60%,10%,0%,10%,30%,10%,,10%,10%,90%,10%,90%,80%,10%,20%,80%,,50%,70%,80%,90%,100%,,,,100%,,,,,20%,10%,0%,70%,70%,10%,10%,50%,70%,10%,50%,20%,60%,90%,70%,80%,10%,10%,10%,10%,10%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F182,90%,80%,60%,70%,20%,30%,90%,30%,70%,30%,70%,40%,40%,70%,30%,70%,40%,70%,70%,30%,40%,100%,80%,60%,50%,40%,30%,20%,10%,80%,70%,50%,40%,50%,50%,50%,50%,50%,40%,40%,60%,30%,80%,40%,60%,40%,80%,60%,30%,60%,70%,60%,30%,30%,40%,20%,0%,60%,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F183,70%,80%,20%,70%,30%,10%,80%,70%,80%,80%,80%,60%,10%,20%,10%,80%,10%,80%,10%,10%,10%,10%,40%,50%,60%,60%,50%,40%,30%,0%,0%,70%,80%,0%,0%,50%,50%,40%,70%,20%,40%,50%,80%,80%,60%,20%,90%,10%,60%,90%,60%,50%,10%,20%,10%,10%,10%,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F184,90%,80%,10%,10%,10%,10%,10%,80%,10%,10%,80%,80%,10%,0%,20%,80%,80%,90%,90%,30%,90%,100%,90%,70%,60%,30%,10%,10%,0%,100%,90%,70%,60%,90%,60%,20%,10%,0%,20%,10%,10%,10%,80%,90%,50%,30%,70%,20%,40%,50%,70%,50%,70%,10%,10%,0%,10%,30%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F185,90%,80%,20%,80%,10%,20%,90%,60%,80%,30%,10%,80%,90%,30%,40%,70%,30%,70%,70%,50%,60%,100%,100%,80%,60%,30%,20%,10%,10%,100%,100%,100%,90%,100%,40%,30%,10%,10%,40%,20%,20%,20%,80%,50%,50%,40%,60%,40%,60%,40%,60%,40%,20%,20%,30%,10%,10%,40%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F186,10%,70%,10%,80%,0%,20%,70%,80%,80%,80%,80%,20%,80%,80%,30%,70%,30%,50%,80%,80%,80%,10%,10%,10%,10%,0%,0%,0%,0%,100%,100%,100%,90%,90%,90%,50%,30%,20%,60%,30%,40%,50%,50%,50%,80%,70%,80%,30%,50%,80%,70%,30%,50%,70%,40%,10%,10%,70%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F187,70%,50%,50%,30%,30%,10%,80%,70%,50%,0%,0%,60%,10%,90%,50%,10%,80%,10%,10%,10%,10%,,,,,,,,,0%,0%,10%,90%,0%,0%,100%,0%,0%,10%,0%,0%,0%,80%,20%,60%,10%,60%,40%,70%,10%,60%,40%,0%,0%,0%,0%,0%,20%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F188,70%,60%,40%,30%,0%,60%,80%,30%,80%,60%,50%,70%,80%,30%,80%,90%,20%,90%,20%,20%,20%,100%,100%,80%,40%,20%,20%,0%,0%,100%,70%,60%,20%,100%,70%,60%,20%,0%,40%,0%,0%,0%,40%,0%,40%,0%,90%,10%,20%,80%,70%,50%,0%,30%,10%,0%,0%,50%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F189,90%,90%,10%,90%,0%,10%,10%,80%,10%,0%,90%,50%,10%,0%,60%,80%,20%,70%,40%,90%,10%,100%,80%,60%,50%,20%,20%,10%,10%,100%,100%,100%,60%,100%,60%,40%,10%,10%,10%,30%,40%,30%,10%,60%,30%,30%,90%,0%,10%,80%,80%,50%,20%,60%,40%,10%,10%,20%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F190,90%,80%,20%,80%,10%,50%,90%,90%,80%,70%,60%,40%,10%,80%,20%,50%,40%,50%,60%,70%,50%,100%,100%,70%,30%,10%,,,,,,,80%,100%,,,80%,60%,50%,40%,50%,30%,40%,30%,70%,40%,60%,40%,50%,30%,60%,50%,70%,60%,40%,30%,20%,80%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F191,10%,90%,30%,90%,0%,0%,0%,80%,90%,0%,10%,60%,10%,0%,10%,10%,30%,60%,80%,70%,80%,100%,90%,80%,0%,0%,0%,0%,0%,90%,90%,90%,90%,80%,70%,40%,20%,10%,10%,20%,20%,20%,80%,80%,70%,60%,90%,20%,70%,60%,50%,50%,10%,20%,10%,10%,10%,30%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F192,80%,70%,20%,40%,20%,20%,80%,70%,90%,70%,70%,40%,70%,20%,50%,90%,60%,60%,80%,70%,90%,100%,100%,100%,90%,70%,60%,40%,20%,100%,100%,100%,90%,90%,70%,50%,30%,20%,70%,30%,30%,30%,70%,60%,70%,60%,80%,20%,80%,70%,80%,30%,10%,10%,10%,0%,0%,30%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F193,10%,90%,10%,90%,,0%,20%,80%,,,40%,70%,,,20%,70%,40%,70%,90%,80%,80%,100%,100%,90%,90%,80%,30%,10%,0%,100%,100%,90%,90%,90%,60%,20%,10%,0%,90%,30%,20%,30%,70%,60%,90%,80%,80%,20%,70%,20%,30%,20%,0%,0%,70%,40%,10%,60%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F194,10%,20%,80%,20%,60%,30%,80%,10%,10%,20%,50%,40%,10%,80%,0%,10%,0%,90%,10%,10%,10%,100%,90%,70%,30%,20%,10%,0%,0%,80%,50%,30%,10%,100%,100%,80%,40%,10%,30%,10%,10%,0%,70%,10%,60%,30%,70%,30%,70%,50%,80%,20%,10%,20%,0%,0%,0%,50%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F195,10%,10%,20%,80%,20%,20%,10%,80%,10%,30%,20%,80%,90%,10%,70%,80%,40%,80%,90%,80%,90%,100%,80%,50%,30%,20%,10%,0%,0%,100%,100%,100%,90%,100%,90%,80%,70%,70%,70%,70%,70%,70%,90%,90%,50%,30%,80%,10%,40%,60%,70%,60%,10%,20%,10%,0%,10%,10%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F196,80%,80%,30%,50%,30%,30%,90%,60%,50%,10%,80%,30%,30%,70%,50%,90%,20%,40%,90%,40%,70%,100%,100%,80%,70%,60%,50%,20%,10%,100%,80%,60%,40%,100%,70%,40%,30%,10%,90%,0%,0%,0%,90%,50%,40%,30%,90%,10%,50%,90%,70%,50%,30%,10%,10%,0%,0%,70%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F197,60%,70%,30%,60%,0%,30%,60%,70%,70%,30%,40%,20%,60%,40%,30%,80%,20%,60%,70%,80%,80%,80%,70%,60%,50%,40%,30%,20%,10%,70%,60%,60%,30%,90%,70%,20%,10%,10%,40%,0%,10%,0%,80%,80%,40%,30%,10%,0%,30%,40%,60%,30%,0%,20%,20%,10%,0%,20%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F198,60%,20%,40%,50%,50%,0%,40%,80%,10%,40%,90%,10%,30%,30%,20%,60%,80%,70%,90%,0%,60%,100%,100%,80%,70%,60%,50%,40%,30%,100%,100%,100%,70%,100%,100%,100%,90%,70%,90%,50%,10%,40%,90%,90%,10%,50%,50%,50%,70%,50%,30%,50%,30%,10%,30%,50%,30%,80%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F199,10%,70%,20%,90%,10%,10%,10%,80%,10%,20%,20%,60%,10%,0%,30%,80%,10%,90%,80%,60%,90%,100%,90%,90%,60%,30%,10%,0%,0%,100%,100%,100%,100%,100%,90%,70%,50%,30%,80%,10%,10%,10%,80%,40%,50%,30%,80%,20%,50%,60%,60%,40%,20%,10%,20%,10%,0%,60%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F200,90%,10%,10%,90%,0%,70%,70%,70%,80%,80%,90%,80%,10%,10%,60%,90%,70%,20%,70%,60%,90%,100%,100%,100%,100%,90%,90%,80%,70%,100%,100%,100%,100%,100%,100%,90%,10%,10%,60%,20%,20%,10%,60%,60%,70%,40%,80%,40%,70%,90%,90%,20%,10%,0%,0%,0%,0%,20%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F201,90%,30%,50%,80%,30%,10%,10%,10%,10%,10%,20%,90%,20%,80%,90%,10%,20%,20%,10%,80%,10%,100%,60%,10%,0%,0%,0%,0%,0%,100%,80%,20%,0%,100%,80%,60%,40%,10%,20%,20%,0%,0%,10%,80%,40%,10%,10%,0%,20%,50%,80%,80%,10%,10%,0%,0%,0%,30%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F202,80%,20%,40%,70%,30%,70%,30%,20%,90%,20%,50%,80%,50%,0%,80%,10%,20%,10%,10%,50%,10%,100%,80%,50%,10%,0%,0%,0%,0%,100%,50%,0%,0%,100%,50%,20%,0%,0%,30%,10%,10%,10%,10%,50%,50%,10%,80%,20%,0%,10%,10%,50%,50%,10%,10%,0%,0%,50%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F203,90%,90%,10%,70%,10%,60%,10%,90%,60%,20%,80%,70%,30%,80%,20%,70%,10%,90%,80%,20%,20%,100%,100%,70%,60%,20%,0%,0%,0%,100%,90%,80%,70%,90%,70%,50%,40%,10%,30%,10%,20%,20%,90%,30%,80%,30%,10%,0%,10%,80%,90%,40%,50%,0%,0%,0%,0%,70%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F204,80%,50%,50%,60%,20%,20%,30%,60%,10%,30%,60%,80%,70%,50%,30%,50%,60%,60%,80%,50%,70%,100%,100%,100%,80%,70%,60%,50%,30%,100%,100%,60%,50%,100%,100%,50%,40%,30%,30%,30%,40%,30%,60%,40%,40%,30%,70%,30%,60%,50%,40%,40%,60%,30%,20%,10%,10%,40%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F205,80%,60%,30%,70%,20%,70%,50%,70%,50%,30%,70%,60%,30%,80%,20%,60%,40%,80%,80%,80%,90%,100%,90%,80%,60%,50%,30%,30%,20%,80%,70%,40%,20%,80%,60%,50%,30%,20%,40%,40%,40%,40%,90%,70%,60%,40%,70%,30%,60%,40%,60%,60%,40%,30%,40%,30%,20%,60%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F206,80%,80%,30%,10%,10%,20%,40%,20%,70%,30%,30%,50%,80%,20%,20%,30%,70%,20%,70%,80%,30%,100%,100%,80%,60%,50%,20%,10%,0%,100%,100%,100%,100%,100%,100%,100%,80%,40%,70%,30%,40%,40%,30%,30%,60%,60%,80%,30%,50%,30%,60%,60%,30%,60%,50%,30%,50%,70%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F207,70%,80%,20%,40%,20%,70%,30%,60%,60%,30%,40%,70%,60%,40%,40%,60%,80%,60%,30%,70%,80%,80%,70%,60%,30%,10%,10%,0%,0%,80%,60%,40%,30%,70%,50%,40%,10%,10%,50%,40%,30%,30%,60%,20%,60%,50%,60%,40%,40%,30%,60%,60%,10%,20%,10%,0%,0%,30%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F208,70%,80%,20%,40%,10%,70%,70%,40%,60%,50%,60%,70%,20%,70%,70%,90%,60%,60%,30%,20%,70%,100%,90%,70%,60%,40%,20%,10%,0%,90%,70%,50%,10%,90%,50%,10%,0%,0%,50%,10%,60%,20%,40%,80%,50%,50%,90%,10%,40%,70%,70%,40%,20%,10%,10%,0%,0%,30%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F209,80%,70%,30%,50%,70%,10%,10%,90%,70%,30%,70%,10%,50%,10%,30%,10%,10%,90%,10%,10%,10%,80%,80%,80%,80%,80%,60%,40%,10%,90%,90%,90%,80%,90%,90%,80%,70%,60%,10%,10%,10%,10%,10%,70%,10%,60%,10%,20%,50%,70%,10%,10%,40%,40%,40%,10%,0%,30%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F210,10%,80%,0%,10%,0%,0%,30%,70%,10%,10%,90%,60%,10%,60%,20%,40%,80%,70%,70%,40%,40%,100%,100%,90%,80%,60%,30%,20%,20%,100%,100%,100%,90%,100%,80%,70%,40%,20%,90%,20%,40%,30%,60%,10%,60%,60%,40%,40%,60%,40%,60%,60%,20%,20%,20%,10%,10%,70%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F211,70%,30%,70%,20%,60%,80%,20%,50%,90%,90%,70%,20%,60%,60%,30%,50%,60%,10%,10%,10%,10%,100%,100%,70%,40%,0%,0%,0%,0%,100%,100%,70%,20%,100%,100%,80%,20%,20%,10%,30%,40%,30%,60%,10%,60%,20%,80%,20%,30%,70%,80%,80%,60%,10%,20%,0%,0%,60%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
